bug_id,api,category,oracle_verdict,stage,status,target_library,target_version,reproducer_path,reproduce_command,error_signature,exit_code,first_seen_at,duplicate_of
bug-4b446a93f850132e,jax.numpy.tril_indices,crash_or_abort,candidate_implementation_bug,mutation,candidate,jax,0.10.0,stage4/results/jax-thesis-all-coverage/execution_results/jax.numpy.tril_indices.results.json,python3 -m stage4.stage4_worker --init-path json2init/results/jax/jax.numpy.tril_indices.init.json --results-json stage4/results/jax-thesis-all-coverage/repro/repro_jax.numpy.tril_indices.init.json --mutation-budget 32 --seed 1590,4b446a93f850132e,-9,2026-05-12T05:32:29Z,
bug-f724b12a43526cf3,jax.numpy.triu_indices,crash_or_abort,candidate_implementation_bug,mutation,candidate,jax,0.10.0,stage4/results/jax-thesis-all-coverage/execution_results/jax.numpy.triu_indices.results.json,python3 -m stage4.stage4_worker --init-path json2init/results/jax/jax.numpy.triu_indices.init.json --results-json stage4/results/jax-thesis-all-coverage/repro/repro_jax.numpy.triu_indices.init.json --mutation-budget 32 --seed 1593,f724b12a43526cf3,-9,2026-05-12T05:32:29Z,
