api_full_name,reason,coverage_scope,python_statement_percent,python_branch_percent,python_covered_lines,python_coverable_lines,native_line_percent,native_covered_lines,native_coverable_lines,native_branch_percent,native_function_percent,python_json_path,native_json_path,python_export_error,native_export_error,worker_exit_code,worker_timeout,init_json_path,results_json_path
jax.numpy.trunc,selected_function_line_coverage_percent=57.1429 < 60,selected_function,,,4,7,,,,,,,,,,,,,
jax.numpy.unique_values,selected_function_line_coverage_percent=50 < 60,selected_function,,,2,4,,,,,,,,,,,,,
jax.numpy.unstack,selected_function_line_coverage_percent=50 < 60,selected_function,,,4,8,,,,,,,,,,,,,
jax.numpy.var,selected_function_line_coverage_percent=50 < 60,selected_function,,,4,8,,,,,,,,,,,,,
jax.numpy.vstack,selected_function_line_coverage_percent=42.8571 < 60,selected_function,,,3,7,,,,,,,,,,,,,
jax.random.PRNGKey,selected_function_line_coverage_percent=50 < 60,selected_function,,,1,2,,,,,,,,,,,,,
jax.random.key,selected_function_line_coverage_percent=50 < 60,selected_function,,,1,2,,,,,,,,,,,,,
jax.scipy.integrate.trapezoid,selected_function_line_coverage_percent=6.5217 < 60,selected_function,,,3,46,,,,,,,,,,,,,
jax.scipy.linalg.hankel,selected_function_line_coverage_percent=58.8235 < 60,selected_function,,,10,17,,,,,,,,,,,,,
jax.scipy.signal.csd,selected_function_line_coverage_percent=47.0588 < 60,selected_function,,,8,17,,,,,,,,,,,,,
