api_full_name,status,rounds,repair_model_used,signature_found,param_count,required_param_count,supported_param_count,stage3_preview_ready,errors,warnings,stage3_preview_reasons,json_path
tensorflow.fill,pass,1,deterministic,False,4,2,4,True,,,,info2json/results/tensorflow/tensorflow.fill.json
tensorflow.fingerprint,pass,1,deterministic,False,3,1,3,True,,,,info2json/results/tensorflow/tensorflow.fingerprint.json
tensorflow.floor,pass,1,deterministic,True,2,1,2,True,,,,info2json/results/tensorflow/tensorflow.floor.json
tensorflow.gather,pass_with_warnings,1,deterministic,True,7,5,7,False,,required param 'validate_indices' missing type | required param 'Caution' missing type | stage3 preview not ready: required param 'validate_indices' unresolved: unhandled chosen type: deprecated | required param 'Caution' unresolved: unhandled chosen type: on cpu,required param 'validate_indices' unresolved: unhandled chosen type: deprecated | required param 'Caution' unresolved: unhandled chosen type: on cpu,info2json/results/tensorflow/tensorflow.gather.json
tensorflow.gradients,pass_with_warnings,1,deterministic,False,8,4,8,False,,required param 'aggregation_method' missing type | stage3 preview not ready: required param 'aggregation_method' unresolved: unhandled chosen type: specifies the method used to combine gradient terms. accepted values are constants defined in the class `aggregationmethod`.,required param 'aggregation_method' unresolved: unhandled chosen type: specifies the method used to combine gradient terms. accepted values are constants defined in the class `aggregationmethod`.,info2json/results/tensorflow/tensorflow.gradients.json
tensorflow.greater,pass,1,deterministic,False,3,2,3,True,,,,info2json/results/tensorflow/tensorflow.greater.json
tensorflow.greater_equal,pass,1,deterministic,False,3,2,3,True,,,,info2json/results/tensorflow/tensorflow.greater_equal.json
tensorflow.guarantee_const,pass_with_warnings,1,deterministic,False,2,2,2,False,,required param 'name' missing type | stage3 preview not ready: required param 'name' unresolved: unhandled chosen type: a name for this operation.,required param 'name' unresolved: unhandled chosen type: a name for this operation.,info2json/results/tensorflow/tensorflow.guarantee_const.json
tensorflow.hessians,pass_with_warnings,1,deterministic,False,5,4,5,False,,required param 'gate_gradients' missing type | required param 'aggregation_method' missing type | stage3 preview not ready: required param 'gate_gradients' unresolved: unhandled chosen type: see `gradients()` documentation for details. | required param 'aggregation_method' unresolved: unhandled chosen type: see `gradients()` documentation for details.,required param 'gate_gradients' unresolved: unhandled chosen type: see `gradients()` documentation for details. | required param 'aggregation_method' unresolved: unhandled chosen type: see `gradients()` documentation for details.,info2json/results/tensorflow/tensorflow.hessians.json
tensorflow.histogram_fixed_width,pass_with_warnings,1,deterministic,True,4,4,4,False,,required param 'name' missing type | stage3 preview not ready: required param 'name' unresolved: unhandled chosen type: a name for this operation (defaults to 'histogram_fixed_width').,required param 'name' unresolved: unhandled chosen type: a name for this operation (defaults to 'histogram_fixed_width').,info2json/results/tensorflow/tensorflow.histogram_fixed_width.json
tensorflow.histogram_fixed_width_bins,pass_with_warnings,1,deterministic,True,4,4,4,False,,required param 'name' missing type | stage3 preview not ready: required param 'name' unresolved: unhandled chosen type: a name for this operation (defaults to 'histogram_fixed_width').,required param 'name' unresolved: unhandled chosen type: a name for this operation (defaults to 'histogram_fixed_width').,info2json/results/tensorflow/tensorflow.histogram_fixed_width_bins.json
tensorflow.identity_n,pass_with_warnings,1,deterministic,False,2,2,2,False,,required param 'name' missing type | stage3 preview not ready: required param 'name' unresolved: unhandled chosen type: a name for the operation (optional).,required param 'name' unresolved: unhandled chosen type: a name for the operation (optional).,info2json/results/tensorflow/tensorflow.identity_n.json
tensorflow.ifftnd,pass,1,deterministic,False,4,3,4,True,,,,info2json/results/tensorflow/tensorflow.ifftnd.json
tensorflow.image.central_crop,pass,1,deterministic,False,2,2,2,True,,,,info2json/results/tensorflow/tensorflow.image.central_crop.json
tensorflow.image.crop_and_resize,pass,1,deterministic,True,7,4,7,True,,,,info2json/results/tensorflow/tensorflow.image.crop_and_resize.json
tensorflow.image.decode_and_crop_jpeg,pass,1,deterministic,False,9,2,9,True,,,,info2json/results/tensorflow/tensorflow.image.decode_and_crop_jpeg.json
tensorflow.image.decode_bmp,pass,1,deterministic,False,3,1,3,True,,,,info2json/results/tensorflow/tensorflow.image.decode_bmp.json
tensorflow.image.decode_gif,pass_with_warnings,1,deterministic,False,2,2,2,False,,required param 'name' missing type | stage3 preview not ready: required param 'name' unresolved: unhandled chosen type: a name for the operation (optional).,required param 'name' unresolved: unhandled chosen type: a name for the operation (optional).,info2json/results/tensorflow/tensorflow.image.decode_gif.json
tensorflow.image.decode_image,pass,1,deterministic,False,4,1,4,True,,,,info2json/results/tensorflow/tensorflow.image.decode_image.json
tensorflow.image.decode_jpeg,pass,1,deterministic,False,8,1,8,True,,,,info2json/results/tensorflow/tensorflow.image.decode_jpeg.json
tensorflow.image.decode_jxl,pass,1,deterministic,False,3,1,3,True,,,,info2json/results/tensorflow/tensorflow.image.decode_jxl.json
tensorflow.image.decode_png,pass,1,deterministic,False,3,1,3,True,,,,info2json/results/tensorflow/tensorflow.image.decode_png.json
tensorflow.image.decode_webp,pass,1,deterministic,False,3,1,3,True,,,,info2json/results/tensorflow/tensorflow.image.decode_webp.json
tensorflow.image.draw_bounding_boxes,pass,1,deterministic,False,4,3,4,True,,,,info2json/results/tensorflow/tensorflow.image.draw_bounding_boxes.json
tensorflow.image.encode_jpeg,pass,1,deterministic,False,11,1,11,True,,,,info2json/results/tensorflow/tensorflow.image.encode_jpeg.json
tensorflow.image.encode_png,pass,1,deterministic,False,3,1,3,True,,,,info2json/results/tensorflow/tensorflow.image.encode_png.json
tensorflow.image.extract_glimpse,pass,1,deterministic,False,7,3,7,True,,,,info2json/results/tensorflow/tensorflow.image.extract_glimpse.json
tensorflow.image.extract_jpeg_shape,pass,1,deterministic,False,3,1,3,True,,,,info2json/results/tensorflow/tensorflow.image.extract_jpeg_shape.json
tensorflow.image.flip_left_right,pass,1,deterministic,False,1,1,1,True,,,,info2json/results/tensorflow/tensorflow.image.flip_left_right.json
tensorflow.image.flip_up_down,pass,1,deterministic,False,1,1,1,True,,,,info2json/results/tensorflow/tensorflow.image.flip_up_down.json
tensorflow.image.generate_bounding_box_proposals,pass,1,deterministic,False,9,5,9,True,,,,info2json/results/tensorflow/tensorflow.image.generate_bounding_box_proposals.json
tensorflow.image.hsv_to_rgb,pass,1,deterministic,False,2,1,2,True,,,,info2json/results/tensorflow/tensorflow.image.hsv_to_rgb.json
tensorflow.image.image_gradients,pass,1,deterministic,True,1,1,1,True,,,,info2json/results/tensorflow/tensorflow.image.image_gradients.json
tensorflow.image.is_jpeg,pass,1,deterministic,False,2,1,2,True,,,,info2json/results/tensorflow/tensorflow.image.is_jpeg.json
tensorflow.image.non_max_suppression,pass_with_warnings,1,deterministic,False,6,6,6,False,,required param 'name' missing type | stage3 preview not ready: required param 'name' unresolved: unhandled chosen type: a name for the operation (optional).,required param 'name' unresolved: unhandled chosen type: a name for the operation (optional).,info2json/results/tensorflow/tensorflow.image.non_max_suppression.json
tensorflow.image.non_max_suppression_overlaps,pass_with_warnings,1,deterministic,False,6,6,6,False,,required param 'name' missing type | stage3 preview not ready: required param 'name' unresolved: unhandled chosen type: a name for the operation (optional).,required param 'name' unresolved: unhandled chosen type: a name for the operation (optional).,info2json/results/tensorflow/tensorflow.image.non_max_suppression_overlaps.json
tensorflow.image.non_max_suppression_padded,pass_with_warnings,1,deterministic,False,10,10,10,False,,required param 'pad_to_max_output_size' missing type | required param 'name' missing type | required param 'canonicalized_coordinates' missing type | stage3 preview not ready: required param 'pad_to_max_output_size' unresolved: unhandled chosen type: whether to pad the output idx to max_output_size. must be set to true when the input is a batch of images. | required param 'name' unresolved: unhandled chosen type: name of operation. | required param 'canonicalized_coordinates' unresolved: unhandled chosen type: if box coordinates are given as `[y_min,required param 'pad_to_max_output_size' unresolved: unhandled chosen type: whether to pad the output idx to max_output_size. must be set to true when the input is a batch of images. | required param 'name' unresolved: unhandled chosen type: name of operation. | required param 'canonicalized_coordinates' unresolved: unhandled chosen type: if box coordinates are given as `[y_min,info2json/results/tensorflow/tensorflow.image.non_max_suppression_padded.json
tensorflow.image.non_max_suppression_with_scores,pass_with_warnings,1,deterministic,False,7,6,7,False,,required param 'name' missing type | stage3 preview not ready: required param 'name' unresolved: unhandled chosen type: a name for the operation (optional).,required param 'name' unresolved: unhandled chosen type: a name for the operation (optional).,info2json/results/tensorflow/tensorflow.image.non_max_suppression_with_scores.json
tensorflow.image.per_image_standardization,pass,1,deterministic,False,1,1,1,True,,,,info2json/results/tensorflow/tensorflow.image.per_image_standardization.json
tensorflow.image.random_crop,pass_with_warnings,1,deterministic,False,4,2,4,False,,required param 'name' missing type | stage3 preview not ready: required param 'name' unresolved: unhandled chosen type: a name for this operation (optional).,required param 'name' unresolved: unhandled chosen type: a name for this operation (optional).,info2json/results/tensorflow/tensorflow.image.random_crop.json
tensorflow.image.random_flip_left_right,pass,1,deterministic,False,2,1,2,True,,,,info2json/results/tensorflow/tensorflow.image.random_flip_left_right.json
tensorflow.image.random_flip_up_down,pass,1,deterministic,False,2,1,2,True,,,,info2json/results/tensorflow/tensorflow.image.random_flip_up_down.json
tensorflow.image.rgb_to_hsv,pass,1,deterministic,True,2,1,2,True,,,,info2json/results/tensorflow/tensorflow.image.rgb_to_hsv.json
tensorflow.image.rot90,pass_with_warnings,1,deterministic,False,3,3,3,False,,required param 'name' missing type | stage3 preview not ready: required param 'name' unresolved: unhandled chosen type: a name for this operation (optional).,required param 'name' unresolved: unhandled chosen type: a name for this operation (optional).,info2json/results/tensorflow/tensorflow.image.rot90.json
tensorflow.image.sample_distorted_bounding_box,pass,1,deterministic,True,9,2,9,True,,,,info2json/results/tensorflow/tensorflow.image.sample_distorted_bounding_box.json
tensorflow.image.sobel_edges,pass,1,deterministic,False,1,1,1,True,,,,info2json/results/tensorflow/tensorflow.image.sobel_edges.json
tensorflow.io.decode_and_crop_jpeg,pass,1,deterministic,False,9,2,9,True,,,,info2json/results/tensorflow/tensorflow.io.decode_and_crop_jpeg.json
tensorflow.io.decode_base64,pass,1,deterministic,False,2,1,2,True,,,,info2json/results/tensorflow/tensorflow.io.decode_base64.json
tensorflow.io.decode_bmp,pass,1,deterministic,False,3,1,3,True,,,,info2json/results/tensorflow/tensorflow.io.decode_bmp.json
tensorflow.io.decode_compressed,pass_with_warnings,1,deterministic,False,3,3,3,False,,required param 'name' missing type | stage3 preview not ready: required param 'name' unresolved: unhandled chosen type: a name for the operation (optional).,required param 'name' unresolved: unhandled chosen type: a name for the operation (optional).,info2json/results/tensorflow/tensorflow.io.decode_compressed.json
tensorflow.io.decode_gif,pass_with_warnings,1,deterministic,False,2,2,2,False,,required param 'name' missing type | stage3 preview not ready: required param 'name' unresolved: unhandled chosen type: a name for the operation (optional).,required param 'name' unresolved: unhandled chosen type: a name for the operation (optional).,info2json/results/tensorflow/tensorflow.io.decode_gif.json
tensorflow.io.decode_image,pass,1,deterministic,False,4,1,4,True,,,,info2json/results/tensorflow/tensorflow.io.decode_image.json
