api_full_name,status,rounds,repair_model_used,signature_found,param_count,required_param_count,supported_param_count,stage3_preview_ready,errors,warnings,stage3_preview_reasons,json_path
tensorflow.experimental.dtensor.unpack,retry,3,mixtral:8x7b,False,0,0,0,True,no parameters remained after normalization,,,info2json/results/tensorflow/tensorflow.experimental.dtensor.unpack.json
tensorflow.is_symbolic_tensor,retry,3,mixtral:8x7b,False,0,0,0,True,no parameters remained after normalization,,,info2json/results/tensorflow/tensorflow.is_symbolic_tensor.json
tensorflow.keras.utils.get_source_inputs,retry,3,mixtral:8x7b,False,0,0,0,True,no parameters remained after normalization,,,info2json/results/tensorflow/tensorflow.keras.utils.get_source_inputs.json
tensorflow.make_ndarray,retry,3,mixtral:8x7b,False,0,0,0,True,no parameters remained after normalization,,,info2json/results/tensorflow/tensorflow.make_ndarray.json
