library,api_full_name,stage,error_type,message,signature,payload_ref,source_file,oracle_decision
torch,torch.cuda.max_memory_allocated,stage4_coverage,selected_function_line_coverage_percent=50 < 60,selected_function_line_coverage_percent=50 < 60,57a901f10a4950a7,,stage4/results/torch-thesis-all-coverage/low_coverage.csv,
torch,torch.cuda.max_memory_allocated,stage4_runtime,candidate,timeout_or_hang,7d3f0e779be9949a,,stage4/results/torch-thesis-all-coverage/bug_report.csv,
torch,torch.cuda.max_memory_allocated,stage4_coverage,selected_function_low_coverage,selected_function_line_coverage_percent=50 below threshold 60; missing_lines=[530],cd6676cca1429df3,stage4/results/torch-thesis-all-coverage/coverage_report.json,stage4/results/torch-thesis-all-coverage/coverage_report.json,
torch,torch.cuda.max_memory_reserved,stage4_coverage,selected_function_low_coverage,selected_function_line_coverage_percent=50 below threshold 60; missing_lines=[566],3d52a53c34d4f2f7,stage4/results/torch-thesis-all-coverage/coverage_report.json,stage4/results/torch-thesis-all-coverage/coverage_report.json,
torch,torch.cuda.max_memory_reserved,stage4_coverage,selected_function_line_coverage_percent=50 < 60,selected_function_line_coverage_percent=50 < 60,8cad9b69dd63edb5,,stage4/results/torch-thesis-all-coverage/low_coverage.csv,
torch,torch.cuda.max_memory_reserved,stage4_runtime,candidate,timeout_or_hang,b1068f8928655862,,stage4/results/torch-thesis-all-coverage/bug_report.csv,
torch,torch.cuda.memory.max_memory_allocated,stage4_runtime,candidate,timeout_or_hang,7b8f2238e4955f22,,stage4/results/torch-thesis-all-coverage/bug_report.csv,
torch,torch.cuda.memory.max_memory_allocated,stage4_coverage,selected_function_low_coverage,selected_function_line_coverage_percent=50 below threshold 60; missing_lines=[530],93e62a0a9a286b84,stage4/results/torch-thesis-all-coverage/coverage_report.json,stage4/results/torch-thesis-all-coverage/coverage_report.json,
torch,torch.cuda.memory.max_memory_allocated,stage4_coverage,selected_function_line_coverage_percent=50 < 60,selected_function_line_coverage_percent=50 < 60,d477cdd717dea4b9,,stage4/results/torch-thesis-all-coverage/low_coverage.csv,
torch,torch.cuda.memory.max_memory_reserved,stage4_runtime,candidate,timeout_or_hang,41169d458df9f451,,stage4/results/torch-thesis-all-coverage/bug_report.csv,
torch,torch.cuda.memory.max_memory_reserved,stage4_coverage,selected_function_line_coverage_percent=50 < 60,selected_function_line_coverage_percent=50 < 60,ad54456064ee5c6c,,stage4/results/torch-thesis-all-coverage/low_coverage.csv,
torch,torch.cuda.memory.max_memory_reserved,stage4_coverage,selected_function_low_coverage,selected_function_line_coverage_percent=50 below threshold 60; missing_lines=[566],b45d82e0ad0c15b2,stage4/results/torch-thesis-all-coverage/coverage_report.json,stage4/results/torch-thesis-all-coverage/coverage_report.json,
torch,torch.cuda.memory.memory_allocated,stage4_coverage,selected_function_line_coverage_percent=50 < 60,selected_function_line_coverage_percent=50 < 60,53fb1b5859b3d020,,stage4/results/torch-thesis-all-coverage/low_coverage.csv,
torch,torch.cuda.memory.memory_allocated,stage4_runtime,candidate,timeout_or_hang,564946f0df09754f,,stage4/results/torch-thesis-all-coverage/bug_report.csv,
torch,torch.cuda.memory.memory_allocated,stage4_coverage,selected_function_low_coverage,selected_function_line_coverage_percent=50 below threshold 60; missing_lines=[513],c7b51475be236591,stage4/results/torch-thesis-all-coverage/coverage_report.json,stage4/results/torch-thesis-all-coverage/coverage_report.json,
torch,torch.cuda.memory.memory_reserved,stage4_runtime,candidate,timeout_or_hang,058e75f1f77f56f8,,stage4/results/torch-thesis-all-coverage/bug_report.csv,
torch,torch.cuda.memory.memory_reserved,stage4_coverage,selected_function_line_coverage_percent=50 < 60,selected_function_line_coverage_percent=50 < 60,3478e8a3f4a45e27,,stage4/results/torch-thesis-all-coverage/low_coverage.csv,
torch,torch.cuda.memory.memory_reserved,stage4_coverage,selected_function_low_coverage,selected_function_line_coverage_percent=50 below threshold 60; missing_lines=[551],ec60bb0863406cc7,stage4/results/torch-thesis-all-coverage/coverage_report.json,stage4/results/torch-thesis-all-coverage/coverage_report.json,
torch,torch.cuda.memory.memory_stats,stage4_runtime,candidate,timeout_or_hang,ec3ab6ce27fb4980,,stage4/results/torch-thesis-all-coverage/bug_report.csv,
torch,torch.cuda.memory_allocated,stage4_coverage,selected_function_line_coverage_percent=50 < 60,selected_function_line_coverage_percent=50 < 60,06ad274aece9f374,,stage4/results/torch-thesis-all-coverage/low_coverage.csv,
torch,torch.cuda.memory_allocated,stage4_coverage,selected_function_low_coverage,selected_function_line_coverage_percent=50 below threshold 60; missing_lines=[513],2ef82f5b69cb3db1,stage4/results/torch-thesis-all-coverage/coverage_report.json,stage4/results/torch-thesis-all-coverage/coverage_report.json,
torch,torch.cuda.memory_allocated,stage4_runtime,candidate,timeout_or_hang,d3b132d235fdda54,,stage4/results/torch-thesis-all-coverage/bug_report.csv,
torch,torch.cuda.memory_reserved,stage4_runtime,candidate,timeout_or_hang,4d5f3c182ff698f2,,stage4/results/torch-thesis-all-coverage/bug_report.csv,
torch,torch.cuda.memory_reserved,stage4_coverage,selected_function_low_coverage,selected_function_line_coverage_percent=50 below threshold 60; missing_lines=[551],c4c91e12fa0f2294,stage4/results/torch-thesis-all-coverage/coverage_report.json,stage4/results/torch-thesis-all-coverage/coverage_report.json,
torch,torch.cuda.memory_reserved,stage4_coverage,selected_function_line_coverage_percent=50 < 60,selected_function_line_coverage_percent=50 < 60,ce0ce6059dd810c7,,stage4/results/torch-thesis-all-coverage/low_coverage.csv,
torch,torch.cuda.memory_stats,stage4_runtime,candidate,timeout_or_hang,4d8351635dcde270,,stage4/results/torch-thesis-all-coverage/bug_report.csv,
torch,torch.distributions.bernoulli.binary_cross_entropy_with_logits,stage4_runtime,candidate,timeout_or_hang,36fe4ddc531669e8,,stage4/results/torch-thesis-all-coverage/bug_report.csv,
torch,torch.distributions.transforms.pad,stage4_runtime,invalid_valid_mutation,Padding length must be divisible by 2,5f5f5ebafb7c8c25,stage4/results/torch-thesis-all-coverage/execution_results/torch.distributions.transforms.pad.results.json,stage4/results/torch-thesis-all-coverage/failures.csv,
torch,torch.distributions.transforms.pad,stage4_coverage,selected_function_line_coverage_percent=50 < 60,selected_function_line_coverage_percent=50 < 60,850bcb8332c99e0f,,stage4/results/torch-thesis-all-coverage/low_coverage.csv,
torch,torch.distributions.transforms.pad,stage4_runtime,RuntimeError,Padding length must be divisible by 2,855c1b80b3d1d1a9,stage4/results/torch-thesis-all-coverage/execution_results/torch.distributions.transforms.pad.results.json,stage4/results/torch-thesis-all-coverage/failure.csv,
torch,torch.distributions.transforms.pad,stage4_coverage,selected_function_low_coverage,"selected_function_line_coverage_percent=50 below threshold 60; missing_lines=[5349, 5416, 5423, 5427]",e59d602e4fce6a54,stage4/results/torch-thesis-all-coverage/coverage_report.json,stage4/results/torch-thesis-all-coverage/coverage_report.json,
torch,torch.fx.experimental.symbolic_shapes.guard_scalar,stage4_coverage,selected_function_line_coverage_percent=37.5 < 60,selected_function_line_coverage_percent=37.5 < 60,60b911a450e15bad,,stage4/results/torch-thesis-all-coverage/low_coverage.csv,
torch,torch.fx.experimental.symbolic_shapes.guard_scalar,stage4_coverage,selected_function_low_coverage,"selected_function_line_coverage_percent=37.5 below threshold 60; missing_lines=[1654, 1655, 1656, 1657, 1659]",acd0050404b9477b,stage4/results/torch-thesis-all-coverage/coverage_report.json,stage4/results/torch-thesis-all-coverage/coverage_report.json,
torch,torch.fx.experimental.symbolic_shapes.has_static_value,stage4_coverage,selected_function_line_coverage_percent=50 < 60,selected_function_line_coverage_percent=50 < 60,23dc4d44f71b4abf,,stage4/results/torch-thesis-all-coverage/low_coverage.csv,
torch,torch.fx.experimental.symbolic_shapes.has_static_value,stage4_coverage,selected_function_low_coverage,"selected_function_line_coverage_percent=50 below threshold 60; missing_lines=[470, 481, 482, 483]",b72dcd7f6d9d7b44,stage4/results/torch-thesis-all-coverage/coverage_report.json,stage4/results/torch-thesis-all-coverage/coverage_report.json,
torch,torch.masked.amax,stage4_coverage,selected_function_low_coverage,"selected_function_line_coverage_percent=35.2941 below threshold 60; missing_lines=[1233, 1234, 1259, 1260, 1263, 1266, 1269, 1270, 1271, 1274, 1278]",14d074bbc4e365a5,stage4/results/torch-thesis-all-coverage/coverage_report.json,stage4/results/torch-thesis-all-coverage/coverage_report.json,
torch,torch.masked.amax,stage4_coverage,selected_function_line_coverage_percent=35.2941 < 60,selected_function_line_coverage_percent=35.2941 < 60,bd25aab3e20ff693,,stage4/results/torch-thesis-all-coverage/low_coverage.csv,
torch,torch.masked.amin,stage4_coverage,selected_function_line_coverage_percent=35.2941 < 60,selected_function_line_coverage_percent=35.2941 < 60,013ddccb210aa55f,,stage4/results/torch-thesis-all-coverage/low_coverage.csv,
torch,torch.masked.amin,stage4_coverage,selected_function_low_coverage,"selected_function_line_coverage_percent=35.2941 below threshold 60; missing_lines=[1283, 1284, 1309, 1310, 1313, 1316, 1319, 1320, 1321, 1324, 1328]",bfaeef037b6f8de3,stage4/results/torch-thesis-all-coverage/coverage_report.json,stage4/results/torch-thesis-all-coverage/coverage_report.json,
torch,torch.masked.mean,stage4_coverage,selected_function_low_coverage,"selected_function_line_coverage_percent=43.4783 below threshold 60; missing_lines=[1385, 1386, 1415, 1431, 1432, 1434, 1436, 1437, 1438, 1439, 1440, 1443, 1447]",9a5d6aebe61505eb,stage4/results/torch-thesis-all-coverage/coverage_report.json,stage4/results/torch-thesis-all-coverage/coverage_report.json,
torch,torch.masked.mean,stage4_coverage,selected_function_line_coverage_percent=43.4783 < 60,selected_function_line_coverage_percent=43.4783 < 60,c22928d5579e4566,,stage4/results/torch-thesis-all-coverage/low_coverage.csv,
torch,torch.masked.median,stage4_coverage,selected_function_line_coverage_percent=58.8235 < 60,selected_function_line_coverage_percent=58.8235 < 60,0aecc17104a401a7,,stage4/results/torch-thesis-all-coverage/low_coverage.csv,
torch,torch.masked.median,stage4_coverage,selected_function_low_coverage,"selected_function_line_coverage_percent=58.8235 below threshold 60; missing_lines=[1452, 1453, 1477, 1483, 1484, 1486, 1490]",8bf2661109dd364b,stage4/results/torch-thesis-all-coverage/coverage_report.json,stage4/results/torch-thesis-all-coverage/coverage_report.json,
torch,torch.masked.prod,stage4_coverage,selected_function_line_coverage_percent=44.4444 < 60,selected_function_line_coverage_percent=44.4444 < 60,2e4ded0efc06507a,,stage4/results/torch-thesis-all-coverage/low_coverage.csv,
