api_full_name,status,classification,rounds,repair_model_used,signature_found,param_count,required_param_count,supported_param_count,stage3_preview_ready,errors,warnings,stage3_preview_reasons,json_path
jax.interpreters.mlir.ir.np.empty_like,pass,pass,1,deterministic,True,6,1,6,True,,,,info2json/results/jax/jax.interpreters.mlir.ir.np.empty_like.json
jax.interpreters.mlir.ir.np.expand_dims,pass,pass,1,deterministic,True,2,1,2,True,,,,info2json/results/jax/jax.interpreters.mlir.ir.np.expand_dims.json
jax.interpreters.mlir.ir.np.extract,pass,pass,1,deterministic,True,2,2,2,True,,,,info2json/results/jax/jax.interpreters.mlir.ir.np.extract.json
jax.interpreters.mlir.ir.np.fliplr,pass,pass,1,deterministic,True,1,1,1,True,,,,info2json/results/jax/jax.interpreters.mlir.ir.np.fliplr.json
jax.interpreters.mlir.ir.np.format_float_positional,pass,pass,1,deterministic,True,9,1,9,True,,,,info2json/results/jax/jax.interpreters.mlir.ir.np.format_float_positional.json
jax.interpreters.mlir.ir.np.format_float_scientific,pass,pass,1,deterministic,True,8,1,8,True,,,,info2json/results/jax/jax.interpreters.mlir.ir.np.format_float_scientific.json
jax.interpreters.mlir.ir.np.full,pass,pass,1,deterministic,True,6,2,6,True,,,,info2json/results/jax/jax.interpreters.mlir.ir.np.full.json
jax.interpreters.mlir.ir.np.geomspace,pass,pass,1,deterministic,True,6,2,6,True,,,,info2json/results/jax/jax.interpreters.mlir.ir.np.geomspace.json
jax.interpreters.mlir.ir.np.histogram2d,pass,pass,1,deterministic,True,6,2,6,True,,,,info2json/results/jax/jax.interpreters.mlir.ir.np.histogram2d.json
jax.interpreters.mlir.ir.np.histogram_bin_edges,pass,pass,1,deterministic,True,4,1,4,True,,,,info2json/results/jax/jax.interpreters.mlir.ir.np.histogram_bin_edges.json
jax.interpreters.mlir.ir.np.histogramdd,pass,pass,1,deterministic,True,5,1,5,True,,,,info2json/results/jax/jax.interpreters.mlir.ir.np.histogramdd.json
jax.interpreters.mlir.ir.np.hstack,pass,pass,1,deterministic,True,3,1,3,True,,,,info2json/results/jax/jax.interpreters.mlir.ir.np.hstack.json
jax.interpreters.mlir.ir.np.identity,pass,pass,1,deterministic,True,3,1,3,True,,,,info2json/results/jax/jax.interpreters.mlir.ir.np.identity.json
jax.interpreters.mlir.ir.np.is_busday,pass,pass,1,deterministic,True,5,1,5,True,,,,info2json/results/jax/jax.interpreters.mlir.ir.np.is_busday.json
jax.interpreters.mlir.ir.np.iscomplex,pass,pass,1,deterministic,True,1,1,1,True,,,,info2json/results/jax/jax.interpreters.mlir.ir.np.iscomplex.json
jax.interpreters.mlir.ir.np.iscomplexobj,pass,pass,1,deterministic,True,1,1,1,True,,,,info2json/results/jax/jax.interpreters.mlir.ir.np.iscomplexobj.json
jax.interpreters.mlir.ir.np.isdtype,pass,pass,1,deterministic,True,2,2,2,True,,,,info2json/results/jax/jax.interpreters.mlir.ir.np.isdtype.json
jax.interpreters.mlir.ir.np.isfortran,pass,pass,1,deterministic,True,1,1,1,True,,,,info2json/results/jax/jax.interpreters.mlir.ir.np.isfortran.json
jax.interpreters.mlir.ir.np.isin,pass,pass,1,deterministic,True,5,2,5,True,,,,info2json/results/jax/jax.interpreters.mlir.ir.np.isin.json
jax.interpreters.mlir.ir.np.isnan,pass,pass,1,deterministic,True,8,1,8,True,,,,info2json/results/jax/jax.interpreters.mlir.ir.np.isnan.json
jax.interpreters.mlir.ir.np.isnat,pass,pass,1,deterministic,True,8,1,8,True,,,,info2json/results/jax/jax.interpreters.mlir.ir.np.isnat.json
jax.interpreters.mlir.ir.np.isneginf,pass,pass,1,deterministic,True,2,1,2,True,,,,info2json/results/jax/jax.interpreters.mlir.ir.np.isneginf.json
jax.interpreters.mlir.ir.np.isposinf,pass,pass,1,deterministic,True,2,1,2,True,,,,info2json/results/jax/jax.interpreters.mlir.ir.np.isposinf.json
jax.interpreters.mlir.ir.np.isreal,pass,pass,1,deterministic,True,1,1,1,True,,,,info2json/results/jax/jax.interpreters.mlir.ir.np.isreal.json
jax.interpreters.mlir.ir.np.isrealobj,pass,pass,1,deterministic,True,1,1,1,True,,,,info2json/results/jax/jax.interpreters.mlir.ir.np.isrealobj.json
jax.interpreters.mlir.ir.np.isscalar,pass,pass,1,deterministic,True,1,1,1,True,,,,info2json/results/jax/jax.interpreters.mlir.ir.np.isscalar.json
jax.interpreters.mlir.ir.np.lexsort,pass,pass,1,deterministic,True,2,1,2,True,,,,info2json/results/jax/jax.interpreters.mlir.ir.np.lexsort.json
jax.interpreters.mlir.ir.np.logspace,pass,pass,1,deterministic,True,7,2,7,True,,,,info2json/results/jax/jax.interpreters.mlir.ir.np.logspace.json
jax.interpreters.mlir.ir.np.matrix_transpose,pass,pass,1,deterministic,True,1,1,1,True,,,,info2json/results/jax/jax.interpreters.mlir.ir.np.matrix_transpose.json
jax.interpreters.mlir.ir.np.min_scalar_type,pass,pass,1,deterministic,True,1,1,1,True,,,,info2json/results/jax/jax.interpreters.mlir.ir.np.min_scalar_type.json
jax.interpreters.mlir.ir.np.moveaxis,pass,pass,1,deterministic,True,3,1,3,True,,,,info2json/results/jax/jax.interpreters.mlir.ir.np.moveaxis.json
jax.interpreters.mlir.ir.np.nancumprod,pass,pass,1,deterministic,True,4,1,4,True,,,,info2json/results/jax/jax.interpreters.mlir.ir.np.nancumprod.json
jax.interpreters.mlir.ir.np.nanprod,pass,pass,1,deterministic,True,7,1,7,True,,,,info2json/results/jax/jax.interpreters.mlir.ir.np.nanprod.json
jax.interpreters.mlir.ir.np.ndim,pass_with_warnings,pass_with_warnings,1,deterministic,True,1,0,1,True,,no required params remained after normalization; check doc parsing,,info2json/results/jax/jax.interpreters.mlir.ir.np.ndim.json
jax.interpreters.mlir.ir.np.nested_iters,pass,pass,1,deterministic,True,8,2,8,True,,,,info2json/results/jax/jax.interpreters.mlir.ir.np.nested_iters.json
jax.interpreters.mlir.ir.np.nonzero,pass,pass,1,deterministic,True,1,1,1,True,,,,info2json/results/jax/jax.interpreters.mlir.ir.np.nonzero.json
jax.interpreters.mlir.ir.np.ones,pass,pass,1,deterministic,True,5,1,5,True,,,,info2json/results/jax/jax.interpreters.mlir.ir.np.ones.json
jax.interpreters.mlir.ir.np.ones_like,pass,pass,1,deterministic,True,6,1,6,True,,,,info2json/results/jax/jax.interpreters.mlir.ir.np.ones_like.json
jax.interpreters.mlir.ir.np.packbits,pass,pass,1,deterministic,True,3,1,3,True,,,,info2json/results/jax/jax.interpreters.mlir.ir.np.packbits.json
